gene,SS0124_S14,SS0126_S16,SS0122_S12,SS0127_S17,SS0123_S13,SS0125_S15
NODE_5_length_92424_cov_618.323723_50,9531,119,51,4902,337,270
NODE_5_length_92424_cov_618.323723_51,12741,211,82,4957,298,270
NODE_5_length_92424_cov_618.323723_52,2186,0,4,1754,0,0
NODE_5_length_92424_cov_618.323723_53,2188,0,0,1629,0,0
NODE_5_length_92424_cov_618.323723_54,587,0,0,231,0,0
NODE_5_length_92424_cov_618.323723_55,51325,31140,9531,44394,15513,15503
NODE_5_length_92424_cov_618.323723_56,4509,0,150,2516,6,4
NODE_5_length_92424_cov_618.323723_57,4784,130,147,2574,223,69
NODE_5_length_92424_cov_618.323723_58,691,0,0,271,0,0
NODE_5_length_92424_cov_618.323723_59,13366,1803,904,14566,2079,1452
NODE_5_length_92424_cov_618.323723_60,17019,479,368,15236,887,1271
NODE_5_length_92424_cov_618.323723_61,44632,2993,1191,65082,3100,3552
NODE_5_length_92424_cov_618.323723_62,28836,14636,5947,41223,13171,14289
NODE_5_length_92424_cov_618.323723_63,2706,0,0,4129,2,0
NODE_5_length_92424_cov_618.323723_64,6072,10659,2757,7124,7608,5965
NODE_5_length_92424_cov_618.323723_65,1411,0,0,353,0,10
NODE_5_length_92424_cov_618.323723_66,942,142,57,254,134,262
NODE_5_length_92424_cov_618.323723_67,15755,3048,1079,17499,4162,4278
NODE_5_length_92424_cov_618.323723_68,3822,0,0,3335,1,2
NODE_5_length_92424_cov_618.323723_69,3245,0,14,1865,0,0
NODE_5_length_92424_cov_618.323723_70,10793,161,222,6461,317,395
NODE_5_length_92424_cov_618.323723_71,3339,335,98,2003,569,862
NODE_5_length_92424_cov_618.323723_72,5580,248,112,4000,246,352
NODE_5_length_92424_cov_618.323723_73,343,0,0,140,2,0
NODE_5_length_92424_cov_618.323723_74,7060,572,241,4173,939,1352
NODE_5_length_92424_cov_618.323723_75,20107,2014,627,22059,1784,1721
NODE_7_length_88770_cov_446.852708_1,26119,309,172,22025,193,179
NODE_7_length_88770_cov_446.852708_2,4044,273,133,2841,602,524
NODE_7_length_88770_cov_446.852708_3,5952,898,475,6613,1667,1362
NODE_7_length_88770_cov_446.852708_4,335,2,0,149,0,0
