Station,Latitude,Longitude,T,Sal,Si,NO3,Phos,Fe,SI_NO3,SI_T
6SUR,36.5207,-4.0074,21.16093,36.59646225,0.392653078,0.475739956,0.095899036,0.001460223,0.143868207,0.301802195
70SUR,-20.4091,-3.1759,19.62788963,36.19618988,1.767386198,0.363336086,0.26388976,0.000663306,0.035880581,0.354910191
71SUR,-9.3,-9.5587,23.49959946,36.29868698,1.535033345,0.103679642,0.259430408,0.000376362,0.031263699,0.287584083
72DCM,-8.7789,-17.9099,21.70340919,36.38188934,2.635543585,2.562449932,0.484272957,0.00066768,0.20056349,0.086189764
72SUR,-8.7789,-17.9099,24.52350044,36.21341324,1.511344194,0.212936655,0.121102586,0.000372481,0.015593892,0.252449169
76DCM,-20.9354,-35.1803,22.50149918,36.80908966,1.808820009,0.491517901,0.226306528,0.000624482,0.156687624,0.068436956
76SUR,-20.9354,-35.1803,24.24199104,37.09218979,2.641365528,0.288455814,0.136135191,0.000656592,0.139762622,0.301668636
78DCM,-30.1367,-43.2899,17.8678093,36.05228806,2.388514042,1.709007859,0.17402561,0.000651299,0.061653727,0.095226145
78SUR,-30.1367,-43.2899,20.26360893,36.2788887,2.466053724,0.140647143,0.033548467,0.000327457,0.091056498,0.38086471
7DCM,37.0434,1.9493,16.20569038,37.39480972,0.785809398,0.723891258,0.193746448,0.00121929,0.16119637,0.237552112
7SUR,37.0434,1.9493,24.88180923,37.18289948,0.053329751,0.695519805,0.186078161,0.001695019,0.110896179,0.823772234
80DCM,-40.6511,-52.182,10.89750957,34.76778793,3.200816631,7.958614349,0.84688437,0.000607936,0.444092683,0.386158807
80SUR,-40.6511,-52.182,14.26570988,34.84679031,3.071995258,2.807729244,0.42576766,0.000623916,0.677970214,0.649373227
81DCM,-44.5342,-52.455,12.6019907,34.64159012,2.27914238,5.35895443,0.720008612,0.000438515,0.500537712,0.449244646
81SUR,-44.5342,-52.455,13.44270992,34.45409012,1.815073967,3.258773327,0.526745379,0.000139198,0.593655436,0.500804382
82DCM,-47.1863,-58.2902,9.557499886,33.9956131,2.13980341,9.712146759,0.802299559,0.000213995,0.860284152,0.446299705
82SUR,-47.1863,-58.2902,10.59150982,34.00931168,2.136832714,8.451025009,0.773569882,0.000202244,0.698646301,0.467737915
83SUR,-54.3739,-65.1342,6.213151614,33.60139465,4.037651718,12.05184714,1.047914823,0.000570719,0.143868207,0.301802195
84SUR,-60.2287,-60.6476,1.785210013,33.82450104,29.64228821,23.31657028,1.713814259,0.000246344,0.418498109,0.275823575
85DCM,-62.0385,-49.529,-1.220209956,34.41559982,84.5306778,30.7823143,2.093696117,0.000930575,0.117095464,0.046151625
85SUR,-62.0385,-49.529,-0.24831,33.89299011,66.188797,24.22704315,1.518479228,0.000393368,0.432752617,0.128412323
86DCM,-64.3595,-53.0063,-1.215610027,34.17609024,74.88441467,27.04919243,1.876042962,0.000846504,0.322774565,0.097294767
86SUR,-64.3595,-53.0063,-0.895009995,33.68001175,70.49017334,23.06807518,1.511502862,0.000548168,0.388725028,0.081412099
87SUR,-63.8768,-56.0916,-0.289761994,34.05466232,79.9438797,24.26681175,1.735645771,0.000672515,0.143868207,0.301802195
88SUR,-63.4015,-56.7938,-0.289761994,34.05466232,79.9438797,24.26681175,1.735645771,0.000672515,0.143868207,0.301802195
89SUR,-57.7338,-67.1084,6.000989914,34.0343132,1.544357538,17.30057526,1.325159192,0.000266592,0.64784171,0.141713382
8DCM,38.005,3.9899,18.2421093,37.51951218,0.762059748,0.092777587,0.159933686,0.001215241,0.115277107,0.375551582
8SUR,38.005,3.9899,24.91308975,37.44721222,0.631754756,0.270413756,0.193628326,0.00166535,0.102795508,0.885747781
90SUR,-39.6466,-76.9634,16.74800873,33.76068878,2.695636034,1.952560425,0.380038977,0.000286002,0.303671534,0.409284761
91SUR,-34.161,-73.0995,16.6104908,34.24258804,6.432961464,8.062327385,0.987609208,0.000363886,0.304134081,0.326455844
92SUR,-33.6895,-71.998,17.27953657,34.39469274,5.46320041,11.30827713,1.316194614,0.000750141,0.143868207,0.301802195
93DCM,-34.0614,-73.1066,15.96260929,34.16358948,6.488171577,24.03486061,0.353522062,0.000646303,0.969018152,0.240738971
93SUR,-34.0614,-73.1066,17.31430054,34.20521164,4.645619392,5.251772881,0.36115402,0.000363886,0.304134081,0.326455844
